symbol,rank,sector,industry
CSIQ,2,Canadian Solar Inc.,Technology,Semiconductors
TQNT,-1,TriQuint Semiconductor Inc.,Technology,Semiconductors
CSII,3,Cardiovascular Systems Inc.,Health Care,Medical/Dental Instruments
PACW,3,PacWest Bancorp,Finance,Major Banks
VTSS,4,Vitesse Semiconductor Corporation,Technology,Semiconductors
LOOK,0,LookSmart Ltd.,Technology,EDP Services
PLTM,0,First Trust ISE Global Platinum Index Fund,n/a,n/a
PACD,4,Pacific Drilling S.A.,Energy,Oil & Gas Production
RLYP,4,Relypsa Inc.,Health Care,Major Pharmaceuticals
PACB,3,Pacific Biosciences of California Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ROIAK,0,Radio One Inc.,Consumer Services,Broadcasting
JMPC,-1,JMP Group Inc,Finance,Investment Bankers/Brokers/Service
JMPB,-1,JMP Group Inc,Finance,Investment Bankers/Brokers/Service
USEG,4,U.S. Energy Corp.,Energy,Oil & Gas Production
VUSE,0,Vident Core US Equity ETF,n/a,n/a
GWPH,3,GW Pharmaceuticals Plc,Health Care,Major Pharmaceuticals
APOG,4,Apogee Enterprises Inc.,Capital Goods,Auto Parts:O.E.M.
APOL,4,Apollo Education Group Inc.,Consumer Services,Other Consumer Services
UIHC,1,United Insurance Holdings Corp.,Finance,Property-Casualty Insurers
XKE,-1,Lehman ABS Corporation,Finance,Finance: Consumer Services
VBFC,0,Village Bank and Trust Financial Corp.,Finance,Major Banks
DLR,3,Digital Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts
LNBB,3,LNB Bancorp Inc.,Finance,Major Banks
FNFV,3,Fidelity National Financial Inc.,Finance,Specialty Insurers
SHLDW,-1,Sears Holdings Corporation,n/a,n/a
AIY,-1,Apollo Investment Corporation,n/a,n/a
SDPI,3,Superior Drilling Products Inc.,Energy,Metal Fabrications
FICO,3,Fair Isaac Corporation,Miscellaneous,Business Services
VET,5,Vermilion Energy Inc.,Energy,Oil & Gas Production
MKL,4,Markel Corporation,Finance,Property-Casualty Insurers
FFWM,0,First Foundation Inc.,Finance,Major Banks
VEC,0,Vectrus Inc.,Consumer Services,Diversified Commercial Services
MDGN/WS,-1,Medgenics Inc.,n/a,n/a
UNFI,2,United Natural Foods Inc.,Consumer Non-Durables,Food Distributors
GNCA,3,Genocea Biosciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKYF,3,The Bank of Kentucky Financial Corp.,Finance,Savings Institutions
QABA,4,First Trust NASDAQ ABA Community Bank Index Fund,n/a,n/a
QNST,0,QuinStreet Inc.,Miscellaneous,Business Services
AGZD,0,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,n/a,n/a
YRCW,3,YRC Worldwide Inc.,Transportation,Trucking Freight/Courier Services
VCIT,3,Vanguard Intermediate-Term Corporate Bond ETF,n/a,n/a
STEM,3,StemCells Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EEFT,3,Euronet Worldwide Inc.,Finance,Investment Bankers/Brokers/Service
HMPR,0,Hampton Roads Bankshares Inc,Finance,Major Banks
GNI,0,Great Northern Iron Ore Properties,Basic Industries,Precious Metals
OUBS,3,UBS AG,n/a,n/a
NWHM,3,New Home Company Inc. (The),Capital Goods,Homebuilding
CUDA,5,Barracuda Networks Inc.,Technology,Computer peripheral equipment
SLMBP,-1,SLM Corporation,Finance,Finance: Consumer Services
TAYD,0,Taylor Devices Inc.,Capital Goods,Industrial Machinery/Components
RAIL,2,Freightcar America Inc.,Capital Goods,Railroads
SSE,3,Seventy Seven Energy Inc.,Energy,Oilfield Services/Equipment
RSO,3,Resource Capital Corp.,Consumer Services,Real Estate Investment Trusts
RSH,3,Radioshack Corporation,Consumer Services,Consumer Electronics/Video Chains
ALKS,4,Alkermes plc,Health Care,Major Pharmaceuticals
RSE,3,Rouse Properties Inc.,Finance,Real Estate
RSG,2,Republic Services Inc.,Public Utilities,Environmental Services
MSLI,0,Merus Labs International Inc.,Health Care,Major Pharmaceuticals
RST,3,Rosetta Stone,Technology,Computer Software: Prepackaged Software
BLKB,3,Blackbaud Inc.,Technology,Computer Software: Prepackaged Software
CDZI,0,Cadiz Inc.,Public Utilities,Water Supply
POZN,2,Pozen Inc.,Health Care,Major Pharmaceuticals
HBANP,-1,Huntington Bancshares Incorporated,Finance,Major Banks
TCPC,2,TCP Capital Corp.,n/a,n/a
DKT,-1,Deutsch Bk Contingent Cap Tr V,n/a,n/a
NUVA,3,NuVasive Inc.,Health Care,Medical/Dental Instruments
COWN,3,Cowen Group Inc.,Finance,Investment Bankers/Brokers/Service
JFC,0,JPMorgan China Region Fund Inc.,n/a,n/a
HDNG,0,Hardinge Inc.,Capital Goods,Industrial Machinery/Components
REED,3,Reeds Inc.,Consumer Non-Durables,Beverages (Production/Distribution)
KALU,4,Kaiser Aluminum Corporation,Capital Goods,Metal Fabrications
JFR,-1,Nuveen Floating Rate Income Fund,n/a,n/a
DKL,2,Delek Logistics Partners L.P.,Energy,Natural Gas Distribution
FXEN,3,FX Energy Inc.,Energy,Oil & Gas Production
CTBI,3,Community Trust Bancorp Inc.,Finance,Major Banks
SXCP,3,SunCoke Energy Partners L.P.,Basic Industries,Steel/Iron Ore
URG,3,Ur Energy Inc,Basic Industries,Precious Metals
URBN,3,Urban Outfitters Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
AEPI,0,AEP Industries Inc.,Capital Goods,Specialty Chemicals
URI,3,United Rentals Inc.,Technology,Diversified Commercial Services
MAYS,0,J. W. Mays Inc.,Consumer Services,Building operators
VIRC,5,Virco Manufacturing Corporation,Consumer Durables,Industrial Specialties
IPB,-1,Merrill Lynch & Co. Inc.,Finance,Finance: Consumer Services
IPG,3,Interpublic Group of Companies Inc. (The),Technology,Advertising
PYS,-1,PPlus Trust,Finance,Finance: Consumer Services
PYT,-1,PPlus Trust,Finance,Finance: Consumer Services
ESGR,3,Enstar Group Limited,Finance,Property-Casualty Insurers
PYN,-1,PIMCO New York Municipal Income Fund III,n/a,n/a
PYB,-1,PPlus Trust,Finance,Finance: Consumer Services
DYN/WS,-1,Dynegy Inc.,n/a,n/a
NGD,3,NEW GOLD INC.,Basic Industries,Precious Metals
ATSG,3,Air Transport Services Group Inc,Transportation,Air Freight/Delivery Services
NGG,3,National Grid Transco PLC,Public Utilities,Natural Gas Distribution
HDS,3,HD Supply Holdings Inc.,Consumer Services,Office Equipment/Supplies/Services
HDP,3,Hortonworks Inc.,n/a,n/a
NGL,3,NGL ENERGY PARTNERS LP,Energy,Oil Refining/Marketing
HDY,0,HyperDynamics Corporation,Energy,Oil & Gas Production
EROC,2,Eagle Rock Energy Partners L.P.,Energy,Oil & Gas Production
HDB,4,HDFC Bank Limited,Finance,Commercial Banks
NGS,3,Natural Gas Services Group Inc.,Energy,Oilfield Services/Equipment
EROS,3,Eros International PLC,Consumer Services,Movies/Entertainment
BMA,2,Macro Bank Inc.,Finance,Commercial Banks
BME,-1,Blackrock Health Sciences Trust,n/a,n/a
BMI,3,Badger Meter Inc.,Capital Goods,Industrial Machinery/Components
BMO,3,Bank Of Montreal,Finance,Commercial Banks
BMR,3,Biomed Realty Trust,Consumer Services,Real Estate Investment Trusts
BMS,2,Bemis Company Inc.,Consumer Durables,Containers/Packaging
BMY,3,Bristol-Myers Squibb Company,Health Care,Major Pharmaceuticals
DTLK,3,Datalink Corporation,Technology,EDP Services
SHW,3,Sherwin-Williams Company (The),Consumer Services,RETAIL: Building Materials
IT,3,Gartner Inc.,Consumer Services,Other Consumer Services
ACFC,3,Atlantic Coast Financial Corporation,Finance,Savings Institutions
SHG,3,Shinhan Financial Group Co Ltd,Finance,Major Banks
ACFN,0,Acorn Energy Inc.,Consumer Services,Military/Government/Technical
RDS/A,-1,Royal Dutch Shell PLC,n/a,n/a
POST,3,Post Holdings Inc.,Consumer Non-Durables,Packaged Foods
SHO,2,Sunstone Hotel Investors Inc.,Consumer Services,Hotels/Resorts
MGA,2,Magna International Inc.,Capital Goods,Auto Parts:O.E.M.
MGF,0,MFS Government Markets Income Trust,n/a,n/a
MGI,3,Moneygram International Inc.,Miscellaneous,Business Services
MGH,0,Minco Gold Corporation,Basic Industries,Precious Metals
MGN,0,Mines Management Inc.,Basic Industries,Precious Metals
MGM,3,MGM Resorts International,Consumer Services,Hotels/Resorts
TBI,3,TrueBlue Inc.,Technology,Professional Services
MGR,-1,Affiliated Managers Group Inc.,Finance,Investment Managers
TBK,3,Triumph Bancorp Inc.,Finance,Major Banks
MGU,-1,Macquarie Global Infrastructure Total Return Fund Inc.,n/a,n/a
EXPR,4,Express Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
GZT,0,Gazit-Globe Ltd.,Finance,Real Estate
OTEL,0,Otelco Inc.,Public Utilities,Telecommunications Equipment
ECL,4,Ecolab Inc.,Basic Industries,Package Goods/Cosmetics
LUV,1,Southwest Airlines Company,Transportation,Air Freight/Delivery Services
LUX,4,Luxottica Group S.p.A.,Health Care,Ophthalmic Goods
STXS,0,Stereotaxis Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CLRX,2,CollabRx Inc.,Technology,EDP Services
CLRB,0,Cellectar Biosciences Inc.,Health Care,Major Pharmaceuticals
LUB,0,Luby&#39;s Inc.,Consumer Services,Restaurants
OTEX,3,Open Text Corporation,Technology,EDP Services
FSCFL,-1,Fifth Street Finance Corp.,n/a,n/a
CLRO,3,ClearOne Inc.,Public Utilities,Telecommunications Equipment
ADSK,4,Autodesk Inc.,Technology,Computer Software: Prepackaged Software
TSBK,3,Timberland Bancorp Inc.,Finance,Banks
IKGH,5,Iao Kun Group Holding Company Limited,Consumer Services,Services-Misc. Amusement & Recreation
OIBR/C,-1,Oi S.A.,n/a,n/a
MDIV,0,First Trust Exchange-Traded Fund VI Multi-Asset Diversified In,n/a,n/a
ECT,4,ECA Marcellus Trust I,Energy,Oil & Gas Production
IF,0,Aberdeen Indonesia Fund Inc.,n/a,n/a
SLXP,3,Salix Pharmaceuticals Ltd.,Health Care,Major Pharmaceuticals
BFIN,3,BankFinancial Corporation,Finance,Savings Institutions
MEILZ,-1,METHES ENERGIES INTERNATIONAL LTD,Basic Industries,Major Chemicals
NMFC,3,New Mountain Finance Corporation,n/a,n/a
KEM,2,Kemet Corporation,Capital Goods,Electrical Products
KEG,3,Key Energy Services Inc.,Energy,Oilfield Services/Equipment
KEF,0,Korea Equity Fund Inc.,n/a,n/a
KED,3,Kayne Anderson Energy Development Company,n/a,n/a
RYAM,3,Rayonier Advanced Materials Inc.,Basic Industries,Major Chemicals
HSBC,3,HSBC Holdings plc,n/a,n/a
VKTX,-1,Viking Therapeutics Inc.,n/a,n/a
LNC,2,Lincoln National Corporation,Finance,Life Insurance
KEY,3,KeyCorp,Finance,Major Banks
KEX,4,Kirby Corporation,Consumer Services,Marine Transportation
APDNW,-1,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
KEP,4,Korea Electric Power Corporation,Public Utilities,Electric Utilities: Central
CWCO,2,Consolidated Water Co. Ltd.,Public Utilities,Water Supply
ABIO,0,ARCA biopharma Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
MOLG,0,MOL Global Inc.,Miscellaneous,Business Services
ITC,3,ITC Holdings Corp.,Public Utilities,Electric Utilities: Central
UVSP,3,Univest Corporation of Pennsylvania,Finance,Major Banks
DMRC,2,Digimarc Corporation,Technology,EDP Services
BBD,4,Banco Bradesco Sa,Finance,Major Banks
M,3,Macy&#39;s Inc,Consumer Services,Department/Specialty Retail Stores
ICAD,3,icad inc.,Health Care,Medical/Dental Instruments
IPCC,2,Infinity Property and Casualty Corporation,Finance,Property-Casualty Insurers
ZGNX,3,Zogenix Inc.,Health Care,Major Pharmaceuticals
BGMD,2,BG Medicine Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IPCI,2,Intellipharmaceutics International Inc.,Health Care,Major Pharmaceuticals
LGIH,4,LGI Homes Inc.,Capital Goods,Homebuilding
IPCM,4,IPC The Hospitalist Company Inc.,Health Care,Hospital/Nursing Management
AMSWA,4,American Software Inc.,Technology,Computer Software: Prepackaged Software
NKTR,3,Nektar Therapeutics,Health Care,Major Pharmaceuticals
FUEL,2,Rocket Fuel Inc.,Technology,Computer Software: Programming Data Processing
TESS,5,TESSCO Technologies Incorporated,Consumer Non-Durables,Electronic Components
AXR,0,AMREP Corporation,Consumer Services,Newspapers/Magazines
AXS,3,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers
AXP,3,American Express Company,Finance,Finance: Consumer Services
CVCY,4,Central Valley Community Bancorp,Finance,Major Banks
AXX,3,Alderon Iron Ore Corp.,Basic Industries,Precious Metals
AXE,3,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment
AXN,0,Aoxing Pharmaceutical Company Inc.,Health Care,Major Pharmaceuticals
AXL,3,American Axle & Manufacturing Holdings Inc.,Capital Goods,Auto Parts:O.E.M.
ENSV,3,ENSERVCO Corporation,Energy,Oilfield Services/Equipment
BBT,3,BB&T Corporation,Finance,Major Banks
DVCR,0,Diversicare Healthcare Services Inc.,Health Care,Hospital/Nursing Management
ENSG,2,The Ensign Group Inc.,Health Care,Hospital/Nursing Management
HTCH,2,Hutchinson Technology Incorporated,Capital Goods,Industrial Machinery/Components
CNLMU,-1,CB Pharma Acquisition Corp.,n/a,n/a
CAVM,4,Cavium Inc.,Technology,Semiconductors
CHNR,0,China Natural Resources Inc.,Basic Industries,Precious Metals
MZF,-1,Managed Duration Investment Grade Municipal Fund,n/a,n/a
MZA,0,MuniYield Arizona Fund Inc.,n/a,n/a
SHLM,3,A. Schulman Inc.,Basic Industries,Major Chemicals
CYHHZ,-1,Community Health Systems Inc.,Health Care,Hospital/Nursing Management
NWSA,2,News Corporation,Consumer Services,Newspapers/Magazines
QQXT,3,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,n/a,n/a
SSWN,-1,Seaspan Corporation,Transportation,Marine Transportation
CSGS,3,CSG Systems International Inc.,Technology,EDP Services
CENX,1,Century Aluminum Company,Basic Industries,Aluminum
CSGP,4,CoStar Group Inc.,Miscellaneous,Business Services
PAAS,3,Pan American Silver Corp.,Basic Industries,Precious Metals
KBSF,0,KBS Fashion Group Limited,Consumer Non-Durables,Apparel
MCHX,3,Marchex Inc.,Miscellaneous,Business Services
MCHP,2,Microchip Technology Incorporated,Technology,Semiconductors
LMBS,0,First Trust Low Duration Mortgage Opportunities ETF,n/a,n/a
FTD,3,FTD Companies Inc.,Consumer Services,Other Consumer Services
REXR,4,Rexford Industrial Realty Inc.,Consumer Services,Real Estate Investment Trusts
REXX,4,Rex Energy Corporation,Energy,Oil & Gas Production
APAM,4,Artisan Partners Asset Management Inc.,Finance,Investment Managers
OPTT,0,Ocean Power Technologies Inc.,Public Utilities,Electric Utilities: Central
YORW,3,The York Water Company,Public Utilities,Water Supply
MLNK,0,ModusLink Global Solutions Inc,Miscellaneous,Business Services
MLNX,2,Mellanox Technologies Ltd.,Technology,Semiconductors
MBFI,4,MB Financial Inc.,Finance,Major Banks
HYB,0,New America High Income Fund Inc. (The),n/a,n/a
BCLI,3,Brainstorm Cell Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HYF,0,Managed High Yield Plus Fund Inc.,n/a,n/a
HYH,1,Halyard Health Inc.,Health Care,Industrial Specialties
HYI,-1,Western Asset High Yield Defined Opportunity Fund Inc.,n/a,n/a
HYL,-1,Lehman ABS Corporation,Finance,Finance: Consumer Services
WSO,3,Watsco Inc.,Consumer Durables,Industrial Machinery/Components
WSR,3,Whitestone REIT,Consumer Services,Real Estate Investment Trusts
HYT,0,Blackrock Corporate High Yield Fund Inc.,n/a,n/a
WST,3,West Pharmaceutical Services Inc.,Basic Industries,Specialty Chemicals
WTFC,3,Wintrust Financial Corporation,Finance,Major Banks
PGNX,2,Progenics Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
KERX,4,Keryx Biopharmaceuticals Inc.,Health Care,Major Pharmaceuticals
EMITF,0,Elbit Imaging Ltd.,Consumer Services,Building operators
AWAY,3,HomeAway Inc.,Technology,EDP Services
VKQ,0,Invesco Municipal Trust,n/a,n/a
VKI,0,Invesco Advantage Municipal Income Trust II,n/a,n/a
VGSH,3,Vanguard Short-Term Government ETF,n/a,n/a
MPAA,2,Motorcar Parts of America Inc.,Capital Goods,Auto Parts:O.E.M.
TROVW,-1,TrovaGene Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SBLK,4,Star Bulk Carriers Corp.,Transportation,Marine Transportation
FWM,4,Fairway Group Holdings Corp.,Consumer Services,Food Chains
STCK,3,Stock Building Supply Holdings Inc.,Consumer Services,RETAIL: Building Materials
POR,2,Portland General Electric Company,Public Utilities,Electric Utilities: Central
HMNY,0,Helios and Matheson Analytics Inc,Consumer Services,Other Consumer Services
AGTC,3,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLMS,2,Calamos Asset Management Inc.,Finance,Investment Bankers/Brokers/Service
CLMT,3,Calumet Specialty Products Partners L.P.,Energy,Integrated oil Companies
JW/A,-1,John Wiley & Sons Inc.,Consumer Services,Books
JW/B,-1,John Wiley & Sons Inc.,Consumer Services,Books
FWP,3,Forward Pharma A/S,Health Care,Major Pharmaceuticals
OCIP,5,OCI Partners LP,Basic Industries,Major Chemicals
OCIR,0,OCI Resources LP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
TROVU,-1,TrovaGene Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCIH,0,ChinaCache International Holdings Ltd.,Technology,EDP Services
JJSF,2,J & J Snack Foods Corp.,Consumer Non-Durables,Specialty Foods
SKOR,0,FlexShares Credit-Scored US Corporate Bond Index Fund,n/a,n/a
ALEX,2,Alexander & Baldwin Holdings Inc.,Finance,Real Estate
OI,3,Owens-Illinois Inc.,Consumer Durables,Containers/Packaging
CDXS,3,Codexis Inc.,Basic Industries,Major Chemicals
OC,2,Owens Corning Inc,Capital Goods,Industrial Machinery/Components
OB,3,OneBeacon Insurance Group Ltd.,Finance,Property-Casualty Insurers
NTRS,3,Northern Trust Corporation,Finance,Major Banks
PLKI,2,Popeyes Louisiana Kitchen Inc.,Consumer Services,Restaurants
NTRI,3,NutriSystem Inc,Consumer Services,Catalog/Specialty Distribution
RQI,0,Cohen & Steers Quality Income Realty Fund Inc,n/a,n/a
DEX,-1,Delaware Enhanced Global Dividend,n/a,n/a
COUP,3,Coupons.com Incorporated,Consumer Services,Advertising
SMI,2,Semiconductor  Manufacturing International Corporation,Technology,Semiconductors
JDD,-1,Nuveen Diversified Dividend and Income Fund,n/a,n/a
REGN,3,Regeneron Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DEI,3,Douglas Emmett Inc.,Consumer Services,Real Estate Investment Trusts
DEJ,3,Dejour Energy Inc.,Energy,Oil & Gas Production
DEL,0,Deltic Timber Corporation,Basic Industries,Forest Products
THTI,0,THT Heat Transfer Technology Inc.,Capital Goods,Metal Fabrications
DEO,4,Diageo plc,Consumer Non-Durables,Beverages (Production/Distribution)
FXCM,2,FXCM Inc.,Finance,Investment Bankers/Brokers/Service
DEG,2,Etablissements Delhaize Freres et Cie &quot;Le Lion&quot; S.A.,Consumer Services,Food Chains
MSFT,4,Microsoft Corporation,Technology,Computer Software: Prepackaged Software
UPL,5,Ultra Petroleum Corp.,Energy,Oil & Gas Production
UPI,3,Uroplasty Inc.,Health Care,Medical/Dental Instruments
VNTV,4,Vantiv Inc.,Miscellaneous,Business Services
GBAB,0,Guggenheim Build America Bonds Managed Duration Trust,n/a,n/a
CFFN,3,Capitol Federal Financial Inc.,Finance,Savings Institutions
PNQI,3,PowerShares NASDAQ Internet Portfolio,n/a,n/a
SNHN,-1,Senior Housing Properties Trust,Consumer Services,Real Estate Investment Trusts
SNHY,3,Sun Hydraulics Corporation,Capital Goods,Metal Fabrications
LDRI,0,PowerShares LadderRite 0-5 Year Corporate Bond Portfolio,n/a,n/a
UPS,3,United Parcel Service Inc.,Transportation,Trucking Freight/Courier Services
PCBK,2,Pacific Continental Corporation (Ore),Finance,Major Banks
IVC,3,Invacare Corporation,Health Care,Industrial Specialties
CZNC,0,Citizens & Northern Corp,Finance,Major Banks
IVH,-1,Ivy High Income Opportunities Fund,n/a,n/a
IVR,4,INVESCO MORTGAGE CAPITAL INC,Consumer Services,Real Estate Investment Trusts
IVZ,3,Invesco Plc,Finance,Investment Managers
ACC,2,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
NEO,2,NeoGenomics Inc.,Health Care,Precision Instruments
NEM,3,Newmont Mining Corporation,Basic Industries,Precious Metals
KOPN,0,Kopin Corporation,Technology,Semiconductors
ACE,3,Ace Limited,Finance,Property-Casualty Insurers
ACI,4,Arch Coal Inc.,Energy,Coal Mining
NEE,4,NextEra Energy Inc.,Public Utilities,Electric Utilities: Central
ACN,3,Accenture plc.,Miscellaneous,Business Services
ACM,3,Aecom Technology Corporation,n/a,n/a
NEA,-1,Nuveen AMT-Free Municipal Income Fund,n/a,n/a
ACP,-1,Avenue Income Credit Strategies Fund,n/a,n/a
ACW,3,Accuride Corporation New,Capital Goods,Auto Parts:O.E.M.
ACU,0,Acme United Corporation.,Capital Goods,Industrial Machinery/Components
ACT,3,Actavis Inc.,Health Care,Major Pharmaceuticals
NEV,-1,Nuveen Enhanced Municipal Value Fund,n/a,n/a
HFC,3,HollyFrontier Corporation,Energy,Integrated oil Companies
NEU,4,NewMarket Corporation,Basic Industries,Major Chemicals
NES,3,Nuverra Environmental Solutions Inc.,Energy,Oilfield Services/Equipment
NEP,1,NextEra Energy Partners LP,Public Utilities,Electric Utilities: Central
BKD,3,Brookdale Senior Living Inc.,Health Care,Hospital/Nursing Management
BKE,3,Buckle Inc. (The),Consumer Services,Clothing/Shoe/Accessory Stores
BKN,0,BlackRock Investment Quality Municipal Trust Inc. (The),n/a,n/a
BKH,4,Black Hills Corporation,Public Utilities,Electric Utilities: Central
BKJ,0,Bancorp of New Jersey Inc,Finance,Major Banks
BKK,-1,Blackrock Municipal 2020 Term Trust,n/a,n/a
BKT,0,BlackRock Income Trust Inc. (The),n/a,n/a
BKU,4,BankUnited Inc.,Finance,Savings Institutions
BKS,3,Barnes & Noble Inc.,Consumer Services,Other Specialty Stores
HCACU,-1,Hennessy Capital Acquisition Corp.,Finance,Investment Managers
GILD,4,Gilead Sciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NATL,3,National Interstate Corporation,Finance,Property-Casualty Insurers
SJW,3,SJW Corporation,Public Utilities,Water Supply
SJT,0,San Juan Basin Royalty Trust,Energy,Oil & Gas Production
GGM,-1,Guggenheim Credit Allocation Fund,n/a,n/a
ACHN,2,Achillion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DHRM,0,Dehaier Medical Systems Limited,Health Care,Medical/Dental Instruments
MSEX,3,Middlesex Water Company,Public Utilities,Water Supply
GILT,0,Gilat Satellite Networks Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment
QUAD,0,Quad Graphics Inc,Miscellaneous,Publishing
ACHC,4,Acadia Healthcare Company Inc.,Health Care,Medical Specialities
GDP,4,Goodrich Petroleum Corporation,Energy,Oil & Gas Production
MED,0,MEDIFAST INC,Consumer Non-Durables,Packaged Foods
MEG,3,Media General Inc.,Consumer Services,Broadcasting
MEA,3,Metalico Inc,Basic Industries,Metal Fabrications
GDV,-1,Gabelli Dividend,n/a,n/a
MEN,0,Blackrock MuniEnhanced Fund Inc.,n/a,n/a
MEI,2,Methode Electronics Inc.,Capital Goods,Electrical Products
MET,3,MetLife Inc.,Finance,Life Insurance
MEP,3,Midcoast Energy Partners L.P.,Public Utilities,Oil & Gas Production
GDF,0,Western Asset Global Partners Income Fund Inc.,n/a,n/a
GDL,0,The GDL Fund,n/a,n/a
GDO,-1,Western Asset Global Corporate Defined Opportunity Fund Inc.,n/a,n/a
CPLP,3,Capital Product Partners L.P.,Transportation,Marine Transportation
CPLA,3,Capella Education Company,Consumer Services,Other Consumer Services
ESIO,3,Electro Scientific Industries Inc.,Miscellaneous,Industrial Machinery/Components
PDCO,2,Patterson Companies Inc.,Health Care,Medical Specialities
PDCE,4,PDC Energy Inc.,Energy,Oil & Gas Production
DLNG,2,Dynagas LNG Partners LP,Consumer Services,Marine Transportation
QQEW,3,First Trust NASDAQ-100 Equal Weighted Index Fund,n/a,n/a
ESBK,0,Elmira Savings Bank NY (The),Finance,Major Banks
SLVO,0,Credit Suisse Silver Shares Covered Call ETN,Finance,Investment Bankers/Brokers/Service
AFSD,-1,Aflac Incorporated,Finance,Accident &Health Insurance
AFSI,3,AmTrust Financial Services Inc.,Finance,Property-Casualty Insurers
EZT,-1,Entergy Texas Inc,Public Utilities,Electric Utilities: Central
KGC,3,Kinross Gold Corporation,Basic Industries,Precious Metals
CPK,1,Chesapeake Utilities Corporation,Public Utilities,Oil & Gas Production
CPL,3,CPFL Energia S.A.,Public Utilities,Electric Utilities: Central
CPN,2,Calpine Corporation,Public Utilities,Electric Utilities: Central
CPA,5,Copa Holdings S.A.,Transportation,Air Freight/Delivery Services
CPB,3,Campbell Soup Company,Consumer Non-Durables,Packaged Foods
CWAY,0,Coastway Bancorp Inc.,Finance,Savings Institutions
CPE,4,Callon Petroleum Company,Energy,Oil & Gas Production
CPF,3,CPB Inc.,Finance,Major Banks
CPG,3,Crescent Point Energy Corporation,Energy,Oil & Gas Production
CPS,3,Cooper-Standard Holdings Inc.,Capital Goods,Auto Parts:O.E.M.
CPT,3,Camden Property Trust,Consumer Services,Real Estate Investment Trusts
NILE,3,Blue Nile Inc.,Consumer Services,Consumer Specialties
FCHI,3,iShares FTSE China (HK Listed) Index Fund,n/a,n/a
VOYA,2,Voya Financial Inc.,Finance,Life Insurance
ARBR,-1,ArborGen Inc.,n/a,n/a
EVAR,3,Lombard Medical Inc.,Health Care,Medical/Dental Instruments
TCBIP,-1,Texas Capital Bancshares Inc.,Finance,Major Banks
TCBIW,-1,Texas Capital Bancshares Inc.,Finance,Major Banks
TCBIL,-1,Texas Capital Bancshares Inc.,Finance,Major Banks
EVAL,3,iShares MSCI Emerging Markets Value Index Fund,n/a,n/a
ICCC,0,ImmuCell Corporation,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBBC,3,NewBridge Bancorp,Finance,Major Banks
BGSF,0,BG Staffing Inc,Technology,Professional Services
TRK,3,Speedway Motorsports Inc.,Consumer Services,Services-Misc. Amusement & Recreation
UEPS,2,Net 1 UEPS Technologies Inc.,Finance,Investment Bankers/Brokers/Service
RLGT,3,Radiant Logistics Inc.,Transportation,Oil Refining/Marketing
WRES,4,Warren Resources Inc.,Energy,Oil & Gas Production
AAWW,3,Atlas Air Worldwide Holdings,Transportation,Transportation Services
ANFI,3,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods
DVAX,3,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals
MXWL,3,Maxwell Technologies Inc.,Miscellaneous,Industrial Machinery/Components
FULLL,-1,Full Circle Capital Corporation,n/a,n/a
SBSA,0,Spanish Broadcasting System Inc.,Consumer Services,Broadcasting
HIMX,3,Himax Technologies Inc.,Technology,Semiconductors
CHLN,0,China Housing & Land Development Inc.,Basic Industries,Homebuilding
PSAU,0,PowerShares Global Gold & Precious Metals Portfolio,n/a,n/a
SBSI,3,Southside Bancshares Inc.,Finance,Major Banks
SIBC,0,State Investors Bancorp Inc.,Finance,Savings Institutions
MXL,3,MaxLinear Inc,Technology,Semiconductors
MXF,0,Mexico Fund Inc. (The),n/a,n/a
MXE,0,Mexico Equity and Income Fund Inc. (The),n/a,n/a
